OBJECTID,Shape,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,City,Shape_Length,Shape_Area
182,,26,163,523300,26163523300,5233,Census Tract 5233,G5020,S,700693,0,+42.3172270,-083.0975239,Detroit,11859.05187,7541601.283
183,,26,163,523200,26163523200,5232,Census Tract 5232,G5020,S,855804,0,+42.3144563,-083.1042425,Detroit,12645.23429,9211061.772
184,,26,163,523100,26163523100,5231,Census Tract 5231,G5020,S,1475574,0,+42.3259510,-083.1023821,Detroit,19258.28755,15881582.46
185,,26,163,522300,26163522300,5223,Census Tract 5223,G5020,S,1651498,0,+42.3565382,-083.0965947,Detroit,18788.10719,17774853.38
186,,26,163,522200,26163522200,5222,Census Tract 5222,G5020,S,525670,0,+42.3511187,-083.1065656,Detroit,10170.09864,5657701.229
187,,26,163,522100,26163522100,5221,Census Tract 5221,G5020,S,1112081,0,+42.3435090,-083.1014140,Detroit,14617.05573,11969249.2
188,,26,163,522000,26163522000,5220,Census Tract 5220,G5020,S,1606031,0,+42.3435757,-083.0875891,Detroit,18897.83123,17285547.52
189,,26,163,515900,26163515900,5159,Census Tract 5159,G5020,S,1268220,0,+42.3829752,-083.0169292,Detroit,18446.87593,13649579.53
190,,26,163,508100,26163508100,5081,Census Tract 5081,G5020,S,1574310,0,+42.4408940,-083.1014824,Detroit,17815.43833,16943729.17
191,,26,163,511400,26163511400,5114,Census Tract 5114,G5020,S,1951620,0,+42.3900705,-083.0776630,Detroit,18230.5098,21004809.82
192,,26,163,514200,26163514200,5142,Census Tract 5142,G5020,S,982297,0,+42.3817139,-083.0084252,Detroit,15860.93547,10572250.38
193,,26,163,516000,26163516000,5160,Census Tract 5160,G5020,S,1436083,0,+42.3714831,-083.0093251,Detroit,15560.99725,15456313.72
194,,26,163,522500,26163522500,5225,Census Tract 5225,G5020,S,934676,0,+42.3411363,-083.0606837,Detroit,12793.09462,10059820.24
195,,26,163,500200,26163500200,5002,Census Tract 5002,G5020,S,939797,0,+42.4461071,-082.9633178,Detroit,13301.91662,10114711.67
196,,26,163,500100,26163500100,5001,Census Tract 5001,G5020,S,1202405,0,+42.4444014,-082.9509210,Detroit,16355.32162,12941071.58
197,,26,163,540200,26163540200,5402,Census Tract 5402,G5020,S,1275281,0,+42.4338414,-083.2097474,Detroit,15807.9163,13725355.92
198,,26,163,540100,26163540100,5401,Census Tract 5401,G5020,S,1239901,0,+42.4409076,-083.2102951,Detroit,15199.31126,13344586.97
199,,26,163,539700,26163539700,5397,Census Tract 5397,G5020,S,743932,0,+42.4346911,-083.1956884,Detroit,13307.32377,8006637.048
200,,26,163,539600,26163539600,5396,Census Tract 5396,G5020,S,1113226,0,+42.4267839,-083.1911640,Detroit,15105.76228,11981304.45
201,,26,163,539500,26163539500,5395,Census Tract 5395,G5020,S,1569337,0,+42.4198239,-083.1873321,Detroit,18789.67775,16890260.17
