DSYear,DSType,SelectedGeography,SubjectArea,Geography,GEONAME,GEOID10,LOGRECNO,VarID,TableTitle,ShortName,Value,MoE,StdErr2,LongName
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5019, Wayne County, Michigan",2.62E+11,357617,P0030002,RACE,White alone,42,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5019, Wayne County, Michigan",2.62E+11,357618,P0030002,RACE,White alone,33,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 4, Census Tract 5019, Wayne County, Michigan",2.62E+11,357619,P0030002,RACE,White alone,19,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5020, Wayne County, Michigan",2.62E+11,357621,P0030002,RACE,White alone,38,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5020, Wayne County, Michigan",2.62E+11,357622,P0030002,RACE,White alone,49,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5031, Wayne County, Michigan",2.62E+11,357624,P0030002,RACE,White alone,56,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5031, Wayne County, Michigan",2.62E+11,357625,P0030002,RACE,White alone,74,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5031, Wayne County, Michigan",2.62E+11,357626,P0030002,RACE,White alone,39,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5032, Wayne County, Michigan",2.62E+11,357628,P0030002,RACE,White alone,102,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5032, Wayne County, Michigan",2.62E+11,357629,P0030002,RACE,White alone,33,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5032, Wayne County, Michigan",2.62E+11,357630,P0030002,RACE,White alone,74,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5033, Wayne County, Michigan",2.62E+11,357632,P0030002,RACE,White alone,39,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5033, Wayne County, Michigan",2.62E+11,357633,P0030002,RACE,White alone,47,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5033, Wayne County, Michigan",2.62E+11,357634,P0030002,RACE,White alone,17,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 4, Census Tract 5033, Wayne County, Michigan",2.62E+11,357635,P0030002,RACE,White alone,43,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5034, Wayne County, Michigan",2.62E+11,357637,P0030002,RACE,White alone,45,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5034, Wayne County, Michigan",2.62E+11,357638,P0030002,RACE,White alone,31,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5035, Wayne County, Michigan",2.62E+11,357640,P0030002,RACE,White alone,21,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5035, Wayne County, Michigan",2.62E+11,357641,P0030002,RACE,White alone,13,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5035, Wayne County, Michigan",2.62E+11,357642,P0030002,RACE,White alone,39,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 4, Census Tract 5035, Wayne County, Michigan",2.62E+11,357643,P0030002,RACE,White alone,13,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 5, Census Tract 5035, Wayne County, Michigan",2.62E+11,357644,P0030002,RACE,White alone,27,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 1, Census Tract 5036, Wayne County, Michigan",2.62E+11,357646,P0030002,RACE,White alone,20,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 2, Census Tract 5036, Wayne County, Michigan",2.62E+11,357647,P0030002,RACE,White alone,33,0,0,Total:%White alone
2010,sf1,Detroit 2010 BGs,Race,"Michigan Block Groups, Wayne County","Block Group 3, Census Tract 5036, Wayne County, Michigan",2.62E+11,357648,P0030002,RACE,White alone,41,0,0,Total:%White alone
